📡  辽宁联通,#genre#
金色学堂高清,http://42.4.217.176:9008/udp/232.0.0.133:1234
法治天地高清,http://42.4.217.176:9008/udp/232.0.0.134:1234
都市剧场高清,http://42.4.217.176:9008/udp/232.0.0.149:1234
纪实科教高清,http://42.4.217.176:9008/udp/232.0.0.162:1234
金鹰纪实高清,http://42.4.217.176:9008/udp/232.0.0.163:1234
爱上测试—4K,http://42.4.217.176:9008/udp/232.0.0.187:1234
中教一台高清,http://42.4.217.176:9008/udp/232.0.0.212:1234
CCTV-4Kᵁᴴᴰ,http://119.119.45.159:8888/udp/232.0.0.158:1234
CCTV-4Kᵁᴴᴰ,http://119.119.45.159:8888/udp/232.0.0.166:1234
CCTV-1高清,http://119.119.45.159:8888/udp/232.0.0.27:1234
CCTV-2高清,http://119.119.45.159:8888/udp/232.0.0.135:1234
CCTV-3高清,http://119.119.45.159:8888/udp/232.0.0.170:1234
CCTV-4高清,http://119.119.45.159:8888/udp/232.0.0.201:1234
CCTV-4欧洲,http://119.119.45.159:8888/udp/232.0.0.53:1234
CCTV-4美洲,http://119.119.45.159:8888/udp/232.0.0.59:1234
CCTV-5高清,http://119.119.45.159:8888/udp/232.0.0.171:1234
CCTV-6高清,http://119.119.45.159:8888/udp/232.0.0.172:1234
CCTV-7高清,http://119.119.45.159:8888/udp/232.0.0.136:1234
CCTV-8高清,http://119.119.45.159:8888/udp/232.0.0.173:1234
CCTV-9高清,http://119.119.45.159:8888/udp/232.0.0.137:1234
CCTV10高清,http://119.119.45.159:8888/udp/232.0.0.138:1234
CCTV11高清,http://119.119.45.159:8888/udp/232.0.0.178:1234
CCTV12高清,http://119.119.45.159:8888/udp/232.0.0.139:1234
CCTV13高清,http://119.119.45.159:8888/udp/232.0.0.15:1234
CCTV14高清,http://119.119.45.159:8888/udp/232.0.0.140:1234
CCTV15高清,http://119.119.45.159:8888/udp/232.0.0.179:1234
CCTV16高清,http://119.119.45.159:8888/udp/232.0.0.182:1234
CCTV17高清,http://119.119.45.159:8888/udp/232.0.0.230:1234
CCTV5+高清,http://119.119.45.159:8888/udp/232.0.0.93:1234
环球西班牙语,http://119.119.45.159:8888/udp/232.0.0.6:1234
环球法语高清,http://119.119.45.159:8888/udp/232.0.0.8:1234
环球俄罗斯语,http://119.119.45.159:8888/udp/232.0.0.28:1234
环球阿拉伯语,http://119.119.45.159:8888/udp/232.0.0.43:1234
环球英语高清,http://119.119.45.159:8888/udp/232.0.0.188:1234
环球纪录高清,http://119.119.45.159:8888/udp/232.0.0.198:1234
第一剧场高清,http://119.119.45.159:8888/udp/232.0.0.29:1234
怀旧剧场高清,http://119.119.45.159:8888/udp/232.0.0.38:1234
风云剧场高清,http://119.119.45.159:8888/udp/232.0.0.45:1234
风云音乐高清,http://119.119.45.159:8888/udp/232.0.0.47:1234
女性时尚高清,http://119.119.45.159:8888/udp/232.0.0.51:1234
风云足球高清,http://119.119.45.159:8888/udp/232.0.0.52:1234
文化精品高清,http://119.119.45.159:8888/udp/232.0.0.56:1234
兵器科技高清,http://119.119.45.159:8888/udp/232.0.0.58:1234
央视台球高清,http://119.119.45.159:8888/udp/232.0.0.60:1234
世界地理高清,http://119.119.45.159:8888/udp/232.0.0.63:1234
电视指南高清,http://119.119.45.159:8888/udp/232.0.0.91:1234
广西卫视高清,http://119.119.45.159:8888/udp/232.0.0.22:1234
